timestamp,tile_clicked,damage_received,created_word,damage_dealt,current_level,program_closed
20260422_005751,True,,,,28,
20260422_005751,True,,,,28,
20260422_005752,True,,,,28,
20260422_005753,True,,,,28,
20260422_005755,,,loc,12,28,
20260422_005802,True,,,,29,
20260422_005803,True,,,,29,
20260422_005803,True,,,,29,
20260422_005803,True,,,,29,
20260422_005804,True,,,,29,
20260422_005809,,,she,48,29,
20260422_005812,,9,,,29,
20260422_005813,True,,,,29,
20260422_005814,True,,,,29,
20260422_005814,True,,,,29,
20260422_005815,True,,,,29,
20260422_005817,True,,,,29,
20260422_005817,True,,,,29,
20260422_005818,True,,,,29,
20260422_005818,True,,,,29,
20260422_005820,,,jack,31,29,
20260422_005824,,9,,,29,
20260422_005829,True,,,,29,
20260422_005830,True,,,,29,
20260422_005830,True,,,,29,
20260422_005831,True,,,,29,
20260422_005833,,,fear,33,29,
20260422_005836,,9,,,29,
20260422_005842,True,,,,29,
20260422_005842,True,,,,29,
20260422_005843,True,,,,29,
20260422_005843,True,,,,29,
20260422_005845,,,dunt,31,29,
20260422_005849,,9,,,29,
20260422_005850,True,,,,29,
20260422_005850,True,,,,29,
20260422_005851,True,,,,29,
20260422_005853,,,pok,24,29,
20260422_005945,True,,,,30,
20260422_005946,True,,,,30,
20260422_005946,True,,,,30,
20260422_005948,,,vim,24,30,
20260422_005949,True,,,,30,
20260422_005950,True,,,,30,
20260422_005950,True,,,,30,
20260422_005953,,12,,,30,
20260422_005956,,,vow,30,30,
20260422_005958,,12,,,30,
20260422_010020,True,,,,30,
20260422_010021,True,,,,30,
20260422_010021,True,,,,30,
20260422_010021,True,,,,30,
20260422_010023,,,dent,16,30,
20260422_010029,True,,,,30,
20260422_010029,True,,,,30,
20260422_010030,True,,,,30,
20260422_010032,,,sry,27,30,
20260422_010035,,6,,,30,
20260422_010107,True,,,,30,
20260422_010107,True,,,,30,
20260422_010113,True,,,,30,
20260422_010116,True,,,,30,
20260422_010117,True,,,,30,
20260422_010119,True,,,,30,
20260422_010121,True,,,,30,
20260422_010122,True,,,,30,
20260422_010122,True,,,,30,
20260422_010123,True,,,,30,
20260422_010125,,,moc,12,30,
20260422_010127,True,,,,30,
20260422_010127,True,,,,30,
20260422_010127,True,,,,30,
20260422_010129,,12,,,30,
20260422_010129,True,,,,30,
20260422_010131,True,,,,30,
20260422_010131,True,,,,30,
20260422_010132,True,,,,30,
20260422_010133,,,sag,48,30,
20260422_010136,,12,,,30,
20260422_010138,True,,,,30,
20260422_010139,True,,,,30,
20260422_010139,True,,,,30,
20260422_010140,True,,,,30,
20260422_010140,True,,,,30,
20260422_010142,True,,,,30,
20260422_010142,True,,,,30,
20260422_010142,True,,,,30,
20260422_010144,,,hack,31,30,
20260422_010149,True,,,,31,
20260422_010149,True,,,,31,
20260422_010149,True,,,,31,
20260422_010150,True,,,,31,
